!CSV A.01.01
!Keysight Technologies,P9371B,MY61100600,A.19.30.21
!Date: Saturday, January 10, 2026 21:35:56
!Source: Standard

BEGIN CH1_DATA
Time(s),S21 Real(U)
1.71e-07,9.8975954e-07
1.728e-07,-4.6190635e-06
1.746e-07,-1.0715048e-06
1.764e-07,3.0993806e-06
1.782e-07,-2.0697476e-06
1.8e-07,-6.47566e-06
1.818e-07,-1.1474388e-06
1.836e-07,6.5529794e-06
1.854e-07,6.3113348e-06
1.872e-07,-3.3182059e-06
1.89e-07,-1.1775746e-05
1.908e-07,-5.6542644e-06
1.926e-07,9.4642573e-06
1.944e-07,1.3118666e-05
1.962e-07,2.1845685e-06
1.98e-07,-6.6964667e-06
1.998e-07,-4.9523096e-06
2.016e-07,1.9996171e-06
2.034e-07,7.0563124e-06
2.052e-07,5.3309973e-06
2.07e-07,-2.0848138e-06
2.088e-07,-7.0935057e-06
2.106e-07,-5.2090395e-06
2.124e-07,1.1220156e-06
2.142e-07,7.9560778e-06
2.16e-07,8.6015716e-06
2.178e-07,-5.0688072e-07
2.196e-07,-9.0427138e-06
2.214e-07,-6.6963275e-06
2.232e-07,-2.2077074e-08
2.25e-07,2.4463877e-06
2.268e-07,2.8803886e-06
2.286e-07,1.5439291e-06
2.304e-07,-3.9865081e-06
2.322e-07,-7.3349352e-06
2.34e-07,-3.0350586e-06
2.358e-07,2.4921339e-06
2.376e-07,3.2086427e-06
2.394e-07,1.5510733e-06
2.412e-07,3.4592179e-07
2.43e-07,-2.4448175e-07
2.448e-07,-2.9928447e-07
2.466e-07,-2.347785e-07
2.484e-07,6.7781804e-07
2.502e-07,3.0592525e-06
2.52e-07,4.0786135e-06
2.538e-07,2.3747521e-06
2.556e-07,8.0502639e-07
2.574e-07,-5.3937606e-07
2.592e-07,-3.038745e-06
2.61e-07,-3.4365803e-06
2.628e-07,-1.0521047e-06
2.646e-07,-4.5806379e-07
2.664e-07,-1.0931088e-07
2.682e-07,4.0251466e-06
2.7e-07,5.4629568e-06
2.718e-07,-1.4749291e-06
2.736e-07,-7.2470425e-06
2.754e-07,-2.4995438e-06
2.772e-07,5.3232493e-06
2.79e-07,3.8214157e-06
2.808e-07,-5.9454164e-06
2.826e-07,-1.0442379e-05
2.844e-07,-2.0583766e-06
2.862e-07,7.8764924e-06
2.88e-07,4.7588278e-06
2.898e-07,-4.8954071e-06
2.916e-07,-3.902931e-06
2.934e-07,6.5523436e-06
2.952e-07,1.0097983e-05
2.97e-07,9.6157123e-07
2.988e-07,-9.8490746e-06
3.006e-07,-9.4229517e-06
3.024e-07,1.7753614e-06
3.042e-07,9.2930868e-06
3.06e-07,4.4363533e-06
3.078e-07,-2.4604997e-06
3.096e-07,-9.8422368e-07
3.114e-07,2.0468101e-06
3.132e-07,-6.5323036e-07
3.15e-07,-2.2466797e-06
3.168e-07,2.6312471e-06
3.186e-07,6.128736e-06
3.204e-07,6.2405309e-07
3.222e-07,-8.2637316e-06
3.24e-07,-8.8098122e-06
3.258e-07,1.5187425e-07
3.276e-07,6.6477551e-06
3.294e-07,3.1980258e-06
3.312e-07,-3.5109231e-06
3.33e-07,-6.0769389e-06
3.348e-07,-4.0391119e-06
3.366e-07,2.8014501e-06
3.384e-07,9.9184208e-06
3.402e-07,5.7415436e-06
3.42e-07,-7.7770774e-06
3.438e-07,-1.1608136e-05
3.456e-07,-1.5980686e-07
3.474e-07,1.0310519e-05
3.492e-07,8.7248445e-06
3.51e-07,-1.6048955e-07
3.528e-07,-7.5510402e-06
3.546e-07,-6.4421642e-06
3.564e-07,2.6263779e-06
3.582e-07,7.7853274e-06
3.6e-07,2.3635728e-06
3.618e-07,-3.5564212e-06
3.636e-07,-1.2180751e-06
3.654e-07,3.3216982e-06
3.672e-07,2.36798e-06
3.69e-07,-2.4247829e-06
3.708e-07,-5.0598974e-06
3.726e-07,-2.3713046e-06
3.744e-07,2.1249509e-06
3.762e-07,1.9750144e-06
3.78e-07,-1.8220742e-06
3.798e-07,-2.3571074e-06
3.816e-07,5.0759422e-07
3.834e-07,8.5787099e-07
3.852e-07,-1.8850685e-06
3.87e-07,-2.6400091e-06
3.888e-07,1.1320217e-06
3.906e-07,5.5032597e-06
3.924e-07,3.6744154e-06
3.942e-07,-3.9492379e-06
3.96e-07,-7.0616461e-06
3.978e-07,-6.08959e-07
3.996e-07,6.0179595e-06
4.014e-07,4.1603985e-06
4.032e-07,-1.2871878e-06
4.05e-07,-1.6489831e-06
4.068e-07,3.0145634e-06
4.086e-07,5.0609733e-06
4.104e-07,-7.947408e-07
4.122e-07,-8.6788068e-06
4.14e-07,-7.2988887e-06
4.158e-07,2.9707373e-06
4.176e-07,9.48259e-06
4.194e-07,5.7092238e-06
4.212e-07,-2.2635804e-06
4.23e-07,-6.4424466e-06
4.248e-07,-4.3317013e-06
4.266e-07,5.6224894e-07
4.284e-07,2.3728712e-06
4.302e-07,9.4506544e-07
4.32e-07,1.2894839e-06
4.338e-07,3.0021181e-06
4.356e-07,9.0825324e-07
4.374e-07,-4.6873288e-06
4.392e-07,-8.4942531e-06
4.41e-07,-6.5421959e-06
4.428e-07,1.4768436e-06
4.446e-07,8.9812092e-06
4.464e-07,7.1515701e-06
4.482e-07,-6.4421658e-07
4.5e-07,-2.840485e-06
4.518e-07,2.4815367e-07
4.536e-07,-1.0163996e-07
4.554e-07,-2.1175915e-06
4.572e-07,8.1759339e-07
4.59e-07,4.8298448e-06
4.608e-07,3.4016664e-06
4.626e-07,-4.50019e-07
4.644e-07,-1.2408232e-06
4.662e-07,-3.6637181e-07
4.68e-07,-1.7377773e-06
4.698e-07,-3.9965626e-06
4.716e-07,-2.4699718e-06
4.734e-07,1.6592562e-06
4.752e-07,1.4924904e-06
4.77e-07,-2.7663962e-06
4.788e-07,-2.3643663e-06
4.806e-07,3.8473167e-06
4.824e-07,6.3299899e-06
4.842e-07,1.1547274e-06
4.86e-07,-5.1108291e-06
4.878e-07,-6.4771311e-06
4.896e-07,-2.9741152e-06
4.914e-07,1.2277598e-06
4.932e-07,1.7542342e-06
4.95e-07,8.2978545e-07
4.968e-07,4.3187983e-06
4.986e-07,8.2396982e-06
5.004e-07,2.653572e-06
5.022e-07,-8.3462828e-06
5.04e-07,-9.3006292e-06
5.058e-07,1.7893633e-06
5.076e-07,9.2170012e-06
5.094e-07,3.0633682e-06
5.112e-07,-6.7373103e-06
5.13e-07,-5.6274321e-06
5.148e-07,4.1634748e-06
5.166e-07,7.5849157e-06
5.184e-07,-2.6507053e-08
5.202e-07,-6.9496127e-06
5.22e-07,-3.8140192e-06
5.238e-07,4.4597582e-06
5.256e-07,7.3783394e-06
5.274e-07,1.0138755e-06
5.292e-07,-8.1185481e-06
5.31e-07,-9.1984384e-06
5.328e-07,-5.4122961e-07
5.346e-07,7.1224499e-06
5.364e-07,5.4573552e-06
5.382e-07,-1.461121e-06
5.4e-07,-5.2815412e-06
5.418e-07,-2.710706e-06
5.436e-07,3.4037419e-06
5.454e-07,6.0323378e-06
5.472e-07,8.6613909e-07
5.49e-07,-6.1886276e-06
5.508e-07,-5.1743964e-06
5.526e-07,3.8829417e-06
5.544e-07,9.8000974e-06
5.562e-07,4.2393149e-06
5.58e-07,-6.6724324e-06
5.598e-07,-9.3188655e-06
5.616e-07,-1.7791143e-06
5.634e-07,3.9744195e-06
5.652e-07,2.6844675e-06
5.67e-07,2.4626156e-06
5.688e-07,5.747459e-06
5.706e-07,3.8554067e-06
5.724e-07,-4.4168496e-06
5.742e-07,-8.5576012e-06
5.76e-07,-3.7649338e-06
5.778e-07,2.8096522e-06
5.796e-07,3.6226666e-06
5.814e-07,-7.9473136e-07
5.832e-07,-4.1929234e-06
5.85e-07,-2.2825379e-06
5.868e-07,2.0629782e-06
5.886e-07,3.1183763e-06
5.904e-07,4.7060212e-07
5.922e-07,-1.2025262e-06
5.94e-07,7.1783734e-07
5.958e-07,2.9559533e-06
5.976e-07,8.1448638e-07
5.994e-07,-3.4382708e-06
6.012e-07,-2.3147409e-06
6.03e-07,3.1969557e-06
6.048e-07,2.8398085e-06
6.066e-07,-4.3575278e-06
6.084e-07,-6.4858177e-06
6.102e-07,7.2842425e-07
6.12e-07,7.4085547e-06
6.138e-07,6.7532219e-06
6.156e-07,2.4435255e-06
6.174e-07,-1.2133972e-06
6.192e-07,-3.6889176e-06
6.21e-07,-4.4937647e-06
6.228e-07,-2.8938603e-06
6.246e-07,9.9254819e-08
6.264e-07,2.1343576e-06
6.282e-07,1.4755358e-06
6.3e-07,-1.1135173e-06
6.318e-07,-2.9476996e-06
6.336e-07,-2.1642409e-06
6.354e-07,9.8585781e-07
6.372e-07,3.9669712e-06
6.39e-07,3.1703414e-06
6.408e-07,-1.1776349e-06
6.426e-07,-3.7762434e-06
6.444e-07,-1.8786416e-06
6.462e-07,1.1284449e-06
6.48e-07,2.090278e-06
6.498e-07,1.0135066e-06
6.516e-07,-1.3207133e-06
6.534e-07,-2.2005393e-06
6.552e-07,1.330346e-06
6.57e-07,5.5598553e-06
6.588e-07,3.5084372e-06
6.606e-07,-3.2737735e-06
6.624e-07,-5.8094461e-06
6.642e-07,-8.8104161e-07
6.66e-07,4.3756145e-06
6.678e-07,2.706774e-06
6.696e-07,-2.3551477e-06
6.714e-07,-1.9274025e-06
6.732e-07,2.4067385e-06
6.75e-07,9.3312559e-07
6.768e-07,-4.8873826e-06
6.786e-07,-4.4660528e-06
6.804e-07,8.4390854e-07
6.822e-07,1.6523205e-06
6.84e-07,5.5571746e-07
6.858e-07,4.2011889e-06
6.876e-07,5.8388769e-06
6.894e-07,-1.5430887e-06
6.912e-07,-8.3674122e-06
6.93e-07,-3.7882446e-06
6.948e-07,5.2449282e-06
6.966e-07,5.0371309e-06
6.984e-07,-3.5326154e-06
7.002e-07,-6.7540273e-06
7.02e-07,6.6699636e-07
7.038e-07,7.4330164e-06
7.056e-07,4.0347368e-06
7.074e-07,-2.9420769e-06
7.092e-07,-4.4065605e-06
7.11e-07,-2.404631e-06
7.128e-07,-5.4771976e-07
7.146e-07,2.9610571e-06
7.164e-07,6.1066448e-06
7.182e-07,3.4621858e-06
7.2e-07,-2.0346652e-06
7.218e-07,-2.5680079e-06
7.236e-07,9.4542639e-07
7.254e-07,7.8494782e-07
7.272e-07,-4.3300201e-06
7.29e-07,-6.8019817e-06
7.308e-07,-1.72523e-06
7.326e-07,4.7735653e-06
7.344e-07,4.1285089e-06
7.362e-07,-1.3719556e-06
7.38e-07,-3.0037822e-06
7.398e-07,1.9421839e-07
7.416e-07,2.3653088e-06
7.434e-07,1.6498025e-06
7.452e-07,5.1158577e-07
7.47e-07,-1.2981664e-07
7.488e-07,-9.6147403e-07
7.506e-07,-1.7815069e-06
7.524e-07,-1.124308e-06
7.542e-07,1.5899957e-06
7.56e-07,3.0135595e-06
7.578e-07,-2.2446802e-07
7.596e-07,-3.7076688e-06
7.614e-07,-9.1090288e-07
7.632e-07,4.3438813e-06
7.65e-07,3.8118517e-06
7.668e-07,-8.33689e-07
7.686e-07,-2.5209843e-06
7.704e-07,-9.6573478e-07
7.722e-07,-7.1101873e-08
7.74e-07,-7.1184917e-07
7.758e-07,-1.6565064e-06
7.776e-07,-1.3641645e-06
7.794e-07,1.2009478e-06
7.812e-07,3.4578795e-06
7.83e-07,1.2593725e-06
7.848e-07,-3.6160845e-06
7.866e-07,-4.2328961e-06
7.884e-07,1.3412156e-06
7.902e-07,5.9873064e-06
7.92e-07,2.6155253e-06
7.938e-07,-5.2602577e-06
7.956e-07,-6.897651e-06
7.974e-07,6.1332139e-07
7.992e-07,6.8711774e-06
8.01e-07,2.6684947e-06
8.028e-07,-5.4570473e-06
8.046e-07,-3.7866448e-06
8.064e-07,6.8115519e-06
8.082e-07,9.5440537e-06
8.1e-07,-2.1665364e-06
8.118e-07,-1.1459487e-05
8.136e-07,-4.3650593e-06
8.154e-07,6.6266271e-06
8.172e-07,4.5964834e-06
8.19e-07,-3.3543843e-06
8.208e-07,-1.7023573e-06
8.226e-07,5.8875517e-06
8.244e-07,5.3004883e-06
8.262e-07,-4.1994517e-06
8.28e-07,-9.9794051e-06
8.298e-07,-3.9254005e-06
8.316e-07,6.5140498e-06
8.334e-07,6.9591124e-06
8.352e-07,-3.2279156e-06
8.37e-07,-8.3104205e-06
8.388e-07,-5.4736529e-07
8.406e-07,7.9160027e-06
8.424e-07,5.7652092e-06
8.442e-07,-2.1241055e-06
8.46e-07,-6.5990689e-06
8.478e-07,-5.5387018e-06
8.496e-07,-5.022182e-07
8.514e-07,5.376176e-06
8.532e-07,6.8041627e-06
8.55e-07,1.8607982e-06
8.568e-07,-4.128507e-06
8.586e-07,-4.4795306e-06
8.604e-07,1.0041326e-06
8.622e-07,5.7484231e-06
8.64e-07,3.7118652e-06
8.658e-07,-3.4270292e-06
8.676e-07,-7.6470969e-06
8.694e-07,-3.7106902e-06
8.712e-07,4.1539934e-06
8.73e-07,6.5425438e-06
8.748e-07,9.1683063e-07
8.766e-07,-4.4670401e-06
8.784e-07,-2.7512294e-06
8.802e-07,1.9030393e-06
8.82e-07,3.1424788e-06
8.838e-07,1.6466482e-06
8.856e-07,-4.8849847e-07
8.874e-07,-3.3716979e-06
8.892e-07,-4.2884503e-06
8.91e-07,-8.5409607e-07
8.928e-07,2.3982755e-06
8.946e-07,1.0646602e-06
8.964e-07,-1.4617701e-06
8.982e-07,-9.308585e-07
9e-07,1.2205149e-06
END

